Question title,Question body,label
Officetel Management Fee Water Fee Electricity Tax City Gas Fee Internet Fee,"It is an officetel with up to 13 floors and up to 16 numbers per floor. I live on a monthly basis. I live on a monthly basis. I live on 11-12 pyeong. Can you tell me if there is a refundable amount? I said 8,000 won in cash to fix it. So I gave 8,000 won in cash. I thought it would be over if I only paid the maintenance fee + monthly rent while living for 5 months. I thought it was included in the maintenance fee, but the money that goes out is almost 1 million won per month, so there are long-term repair allowances, building insurance premiums, and water co-payments..Is it right for me?",administration
Health insurance premiums due to changes in the cheonsei deposit for local subscribers,"Hello, I lived in a 26-pyeong apartment in Gangneung with a 5000/40 deposit deposit until December last year, and then moved to a 5000/60 32-pyeong apartment in Wonju on December 2nd. Looking at the details of the change, it says that the rent for jeonse was changed to “147.49 million won to 74 million won (determined date natural), a decrease of 8.5 million won for assets less than 27 million won. What could be the reason?",administration
I would like to inquire about moving in before moving. (The landlord asks you to report the move-in in advance),"Good morning. I would like to ask a question regarding the report on moving in to real estate [Situation] The person: Currently living in a chartered house, and is going to move in with the balance paid on March 18. Landlord: A situation in which the tenant (the person) goes out and has to pay money. I want to report the move-in in advance on March 4, which is before March 18. In other words, about 2 weeks before I move (2 weeks before receiving the deposit deposit), the landlord will go to the jeonse house where I live. I haven't asked for a clear reason yet, and I don't think it will be a big problem, but I don't know, so I leave a question. [Question] Question 1. In the above situation, before I receive a deposit from the landlord ( 2 weeks ago), even if the landlord reports moving into the house where I live, is it safe to receive a deposit on March 18? Question 2. In the above situation, if the landlord's request is made to report the move-in in advance, I too At that point, should I report the move-in to the moving house in advance? Thank you.",charter
"I'm moving soon, but there's a lot of conflict with the landlord.","Hello, I am about to move in, and as I move out, you are asking us to pay the real estate benefits. At real estate, you don't have to do that, and what does that mean? You said that the principle is that the landlord must pay the benefits. Then today, the boiler broke down, so I contacted him and he decided to pay the compensation fee. I know that it is right for the landlord to pay the repair cost for the boiler breakdown;; How do I fix this? It doesn't work. Is there any part that can be solved by the law? I want to be as quiet as possible..",administration
In case of delay in registration of rental apartment,"Rented apartments around October 2020. After completing the sales contract and paying the balance, the registration is transferred sequentially. They are waiting, but they will give you back the balance payment, so please wait. first. If you wait for the balance to be returned, will the priority order be maintained? Or how will the bankruptcy be handled? What are the disadvantages of the rental business if the second balance is not returned? I would like to know if the penalty is imposed by the number of households or just in total.",Trading
What is the acquisition tax rate when a person who has one house in the adjusted area buys 2 villas in the redevelopment area in the adjusted area?,"When a person who has one house in the adjustment area buys two villas that are redeveloped in the adjustment area at the same time, should the acquisition tax be paid like this: 8% for one and 12% for the other?",Trading
Is there any way to keep the deposit deposit without moving the address (notification of moving in)?,"I would like to do global medicine in a small local town, but I don't want to move my address because there is a personal reason. I found out that after the completion of the worldwide drug, the right to counter is required to complete the notification of move-in and the confirmed date. But I am in a situation where I cannot report the move-in, so I wonder if there is any other method. Is it true? Since it is a small local city, the amount of jeonse is 6,500 and the loan is about 700 million.",administration
Officetel transfer notification question,"Hello, I am moving from the house where I lived to another house. I am in the state of moving in to the house I live in, and I have a contract until February 19. The new house I want to move in is the state of writing today's contract, and the actual move-in date is February. It is the 20th. The deposit at home is due to be paid on February 20th, so I only placed the deposit on the house I am moving in. In this situation, I want to reapply the move-in report to a new house, but it is okay to receive the notification of move-in and the confirmation date today. Or do I need to receive a notification of moving in and a confirmation date after February 20th?",contract
I would like to ask you a question regarding the housing rental business.,"After registering as a rental business, I started a rental business (period is 5 years). If the rental business period expires in the middle of the rental business, shouldn’t I start the rental business as soon as it is cancelled? However, the sale is not easily carried out. If the rental business is extended, the current law requires an extension of 10 years, and the sale is impossible within 10 years, so I do not want to extend the extension. When it expires Is it illegal to do rental business anymore (Is it illegal?), and if not, what should I do to the tenant with the remaining contract period? I wonder.",monthly
"When purchasing an apartment, the amount of the base mortgage for the apartment cost","While looking for a house, I found a house I liked, and I was looking for a stepping stone loan and a home loan. He said that if there is too much root mortgage against the price of the house, the loan may not be available. It is located on the 3rd floor of the apartment. When I took a certified copy of the real estate, the owner is an 86-year-old grandfather and two basic mortgage rights are held. Question 1. If you apply for a home and stepping stone loan, will you get a loan if you apply for a home mortgage loan, but you will get a loan first. If there is a loan, you will first pay the down payment and make a contract. What if I don't repay the following loan and use it elsewhere? ㅠㅠ It's my first time to deal with what to do, and there are too many root mortgages. I was thinking of a scenario where I repay the mortgage with the balance, cancel the loan, and send the remaining balance to the seller. .. I am worried, and even if I come out, I am very worried that the inheritance will not be passed because he died in the middle of the contract. ㅠㅠㅠ",contract
Is the landlord included in the ban on groups of 5 or more?,Is the landlord included in more than 5 people?,administration
This is a question about building a car wash.,"I am going to use it after changing its use to a hand car wash on the site that was previously used as a car center. There is an office and a maintenance shop on the premises. There is a place designed as a flower bed on the drawing, but now the flower bed is removed and materials are collected. In order to obtain permission to change the car wash, is it possible to allow the flower bed to be restored to its original state in accordance with the design drawings?2. Is there a way to get permission without restoring? Please answer from experts.",law
If the landlord contract and the seal certificate seal stamp are different...,"This time, I made a worldwide drug, but the landlord has been living in a foreign country for a long time, and the family decided to send me a seal certificate for the balance and signed a contract. We were going to apply for jeonsegwon setting or jeonse guarantee insurance with the seal certificate... It wasn't until the day went on like this that I asked the landlord and his surrogate family that the landlord seemed to have lost his seal stamp because he was out in a foreign country for a long time. I was not able to set up a chonsegwon or have a cheonsei guarantee insurance. In this case, is there any problem with our contract? It is because the general seal of the landlord is used on the contract. I am already living after moving, can I cancel the contract for this reason? Can I ask if it is possible (for moving expenses or returning welfare expenses) 3. In the case where a seal that does not match the seal certificate is used in the contract, is there any problem in validating the confirmation date/transfer notification in this case?",contract
"I am living in a dormitory to receive the second disaster support fund in Gyeonggi-do, so how do I apply?","While I was working at a company, I got a villa as a dormitory and paid villa management fees, gas fees, water taxes, etc. (It's not my house.) But one day, Shinhan Card Company suddenly was judged as a resident of Gyeonggi Province. When I tried to apply for disaster assistance, when the address was small (I live in Seoul at my father's house, and the head of the household is my mother, I am a member of the household).",administration
Real estate contract,"I've been living for two months after signing a rented house this time. When I asked the real estate on the phone because the city gas fee was 300,000 won in the first month, I was told that gas (lpg), not city gas, has no choice but to come out more than a regular house. He said that he didn't know because he didn't say this, so we didn't know that there were so many, and talk with the landlord. We said that we have nothing to tell you about, so when you see the real estate contract, the city gas is checked. In this case, the contract is signed. Can I cancel it?",contract
Questions related to contracts for college students,I'm going to sign a contract for a self-catering house near the school this time. Can I live with a friend unless there is an exact statement that only a few people have to live? I'm curious if it's a legal issue!,contract
Interfloor noise problem,"Hello. I'm curious about the noise between floors, so I'm writing. I live in an old villa. I live on the 3rd floor with a 4th floor structure. The kids living on the 4th floor run around day and night, but at night they can't sleep without earplugs. .But the 2nd floor is noisy..Is it the part where the inter-floor noise can go from the 4th to the 2nd floor? But.",administration
Changes in jeon tax,"We moved in with a 5% increase in the amount of a jeonse fund loan in the house where the former former moved out in 6 months after a 1-year contract, and the former moved out to maturity after a short 8-month contract. When I tried to report a standard lease contract in real estate to the government office, it was said that the 5% increase was not correct. In this case, we received a 5% increase in the amount of relocation and paid the balance upon moving in by receiving a credit loan. Should I rewrite the contract with the amount mentioned in the previous article and put a condition in the contract to receive a margin for the 5% increase when eviction? 2. Also, is the interest paid by us on the loan received by executing a loan with an increase of 5% to the bank? If it wasn't the amount that was increased, it was not necessary to receive a lot of out-of-house loans and credit loans.",contract
Whether it is possible to cancel the provisional contract for one-room monthly rent.,"Yesterday evening, I went to the studio around 7~8 pm and showed me the 1000/42 two-room once, so I liked it so much that I hurriedly signed the temporary contract and made a deposit and went home because I had to deposit 420,000 won directly into the account of the landlord. I'm in a state of asking if I can't return the 10 million won guarantee and the monthly rent to the landlord in a long text around 1 am, saying that I'm sorry. Even if I won't return the provisional contract I put in here yesterday. Is there no position...??",contract
Real estate transfer cost,"I live in my own shabby detached house, which is about 12 pyeong. When I checked the price, it came out about 30 million won. 1 How much will the transfer fee be? 2 Where do I submit the documents? 3 I'm not very good at low prices, so can I fit the agent? Please answer.",administration
"Please help, the renter is a person","I'm a smoker. I lived for a year and a half on a two-year contract. There are a lot of absurd things, but it's too long to talk about it all, so I'll skip it and ask only questions. I started not paying my rent because I just said ridiculous things like disappearing from this house that the paper was dirty from smoking. I was overdue for two months, so I knew that I was told to go out, and I knew it because I gave 850,000 won (deposit) for paperwork, molding, and cleaning. I didn't see it, but the contract says that smoking is not allowed. But I didn't have money, so I asked for a deposit before moving out. I need money such as paying the balance and moving expenses. But when I'm out of the house, I come and give me money. In the meantime, the owner has been arguing because he has said so absurd, but he is so exhausted that he will do what he asked for, but I think this is not the case. He's a person who can't really do it. This doesn't make sense. It's a really amazing person. It was 10cm long, but I asked for 100,000 won, so I gave it to you. I hate to do what he wants now. The question is, I'm just throwing away the deposit and leaving the house. However, one concern is that I made the contract in the name of my son, but I am worried that it will hurt my son. I don't want to empty the house until the deposit is all set, but I'm curious about what we can do to avoid. It's funny because I feel human insults, but it's so painful. Thank you so much for letting me know in detail",administration
Real estate brokerage commission rate Is the seller and buyer half and half burdened?,"Hello, I bought a 300 million villa in Deokyak-gu, Gyeonggi-do, and gave a real estate brokerage fee of 0.4% (a commission rate of less than 600 million won) and 1.2 million won to a brokerage....Is this correct? Or is it correct to pay 1.2 million won (0.4%) of 1.2 million won, 600,000 won for the seller and 600,000 won for the buyer?",loan
Questions about the contract for publicly supported private rental apartment,"I would like to sign a public support private rental apartment contract, but please inquire. We are looking for union members. There was no autonomy (bank loan) and it was before a guarantee was issued by the Housing and Urban Guarantee Corporation.",law
"Last time I asked the question, “The house where I lived is the basement of the villa, but unusually, one side is unregistered and the other is registered.” First of all, thank you for the clean and clear answer. Unfortunately, one side is non-registered and the other is registered.” Next, I would like to ask you a few more questions. I looked at the registered copy and the land register, but it seems that the original building owner and the land owner are the same person, and they gave up their inheritance after their death. When I heard the situation (as the name was after death 10 years ago), the unregistered section was not the shared area of ​​the villa, and the original owner (land owner) ran out of money... so I just lived. Evidence documents and things disappear after more than 30 years. In this case, if you have lived for 20 years, we ask if it is possible to obtain a registered registration with the statute of possession acquisition.",,administration
To change the son's house to the parent's name,Good morning. I have a villa with a price of about 400 million in the name of my son. I would like to change this villa to the name of my parents.,loan
Please tell me how to check the provisional disposition of unregistered apartments,"Hello. I am in a situation where only the balance remains after a charter contract for an unregistered cooperative apartment. Before paying the balance, I would like to check whether the provisional disposition of seizure rights for the landlord's pre-sale right, the union tells me that it is personal information. The union is not obligated to inform them and asks the landlord to contact them directly. Is it possible to find out in other ways that do not go through the landlord? If I verbally check with the landlord, will it take effect later?",law
"When I receive a loan from the Small and Medium Business Administration, is there a general loan for business use? Can I get a fixed date just by paying the down payment? And if a loan comes out, isn't this officetel going to be a non-business house? There are 3 officetels, and the registration was done on February 9th. I am going to change to a duty-free business after the balance of the apartment, and I told the officetel contractor that I would change the business in early March, but all three of them receive jeonse loans from the SMBA. I'm afraid that the tax-free benefits will disappear if the officetel becomes the main house. Anyone who knows what to do, please help.",,contract
There is a one-story rural house with a building-to-land ratio of 15% and a floor area ratio of 15% on 77 pyeong of land. ㆍThe house is too small to be rebuilt.,,loan
I am trying to sell my gifted house. What will happen to the capital gains tax?,"As of 2010, in the state of a single house, I received a gift of about 40 million won from my mother. Since then, I will continue to own the donated house around 2014, dispose of the existing house, and buy another apartment and move, this year and January. This is the situation of one household and two houses, including a house that was donated to an apartment in an adjusted area of ​​about 200 million units (about 7,000 publicly announced) after disposing of it, buying another apartment, and moving. However, how will the capital gains tax be applied in such a case? For reference, the house where you live and the house you are going to sell are both in the adjusted area. Thank you for your answer in advance.",Trading
"In case of reconstruction moving, check the contents of real estate contract","The charter contract is until March 2022, and when the apartment is reopened, the owner of the house included the following one line. ""I will go to Isaki without conditions for rebuilding."" You didn't say the specifics, but if you move due to reconstruction, you don't want to ask the owner for a moving fee or a welfare fee. I put it. -In case of moving to reconstruction, I think I should receive this part if the cooperative provides relocation or moving expenses. Is this correct?-Will the relocation cost to the landlord who does not actually live?-How much will I receive if I provide the relocation expenses due to the reconstruction?-The contract takes a little bit, so I write this.",contract
We would like to inquire about whether the conditions for terminating the studio contract are met.,"We would like to inquire about the establishment of the conditions for canceling the one-room contract. 1. A: Landlord 2. E: Tenant Situation 1. Eul asked for <fixed seat parking> through a realtor before the studio contract, and the realtor said that he received a reply to the manager through Kakao Talk saying that <fixed seat parking> was possible. After that, immediately after the contract, Eul-eun asked about <fixed seat parking> at the place where the manager and A were together, and after receiving a verbal reply saying <no problem>, he signed a one-year contract as a final charter. However, the contract does not specify <fixed seat parking> After the contract, I requested <fixed seat parking>, but received a call from the manager asking for <wait for the construction to be completed>. After that, 1 month, 2 months, 3 months.. The construction continues to lengthen, and the lack of parking spaces due to construction materials, and inconvenience due to redundant parking accumulates. I said, ""I will mark the parking"", but ""Please wait until the parking lot is cleared."" Received a response saying, ""You cannot mark the designated parking at your discretion."" (There is a text record) Inquiry 1. In the case of situation 1 above, can the contract be terminated (destroyed) for violating the condition of ``fixed seat parking is possible'', which was confirmed verbally with KakaoTalk records shared with the realtor and A (rental) and manager? Only KakaoTalk records shared with real estate agents exist, and the terms and conditions are not specified in the contract, but Eul (the tenant) checked with the real estate agent several times and played a decisive role in the contract. Ap and the manager were notified that they would move one year before the charter contract due to inconvenient parking, negligence of management by the manager (it is a mess because there is no garbage management, there is a photo), and noise damage caused by the lengthened construction period without a contract. There is a record of all the text messages sent and received with the manager.) The manager said that he would release the room immediately, but it has not been posted for sale on real estate and Internet real estate such as Naver until the end of two weeks. Eul asked the manager again <Is it correct that it was for sale?>, but received an answer such as <I uploaded it on their own computer>. Eul, who could not stand it, notified that she would put her house for sale through <Jikbang>, and registered directly with <Jikbang>. Only then did I get a call from the real estate agent saying that I would come to see the house, but most of them received a text message such as <I can't see the house because the landlord couldn't contact me>. Eul directly called Gap twice, but the phone could not be connected to Eul. Then I called the manager, but <I am talking to myself well and there is no problem. There were no people coming to see the room because of the corona, but I registered.> (At this point, there are no real estate sites that have been uploaded other than items posted by Eul, such as Naver Real Estate). Can I cancel the contract on the date that I want to move out when I can't get it? The actual proof is the text <I can't contact the renter> from each other real estate agent. There are also transcripts of conversations and text messages we had with the manager. After signing a contract for a new construction, it was very painful... ㅠ Please legally review whether each contract can be terminated.. If possible, I will send a proof of the contents in my name. Thank you!!!!!!!",monthly
Is it difficult for an individual to dispose of the suspension of construction rights infringement?,"Construction is underway 1M in front of the house. Noise, dust, and vibration are causing a lot of damage to life... Ventilation is difficult and noise and vibration make it difficult to sleep properly. I suffer from allergic rhinitis and asthma, but the condition that had improved for a while may worsen again. The number of times I woke up because I couldn't breathe has increased. A 20-story officetel is scheduled to come in, but the number of floors I live in is on the 3rd floor. (The number of floors in the apartment is 11th floor.) The soundproof walls are also extremely low, so the soundproofing is not at all, and the construction vibration is transmitted directly to the building. It was also broken, not to mention the dust. I take allergic rhinitis and asthma medications that are prescribed to take once every 3 days. In the case of my mother who lives with me, I stand on the night watch once every 3 days, but my health was a little bad because I couldn't sleep at all during the day. Since you are a bit old, I am a lot worried that you will fall due to lack of sleep or overwork. The direction of the house is from northeast to southwest, so it is on the side with good sunlight, but after entering the building, it is expected that the sun will not rise at all until late afternoon. .It's a house where both the sun and the wind are good, but once it's built, both the sun and the wind won't go well. If even the windows come in contact, it won't be easy to open the windows. But after that, what... is it bothersome to the ward office?.. Heh.... A total of 3 civil petitions were entered, but after the first there was no change, no construction was stopped, and the noise, vibration, and dust were all the same ^^ At first I also told you the decibel measurement result, and if you want to measure it, I will visit you at the time you want, so I'll call you.. I'm tired of entering civil petitions. However, during that period, I wondered if I would pay for the hospital expenses and medicines, or what money would I compensate for? A. If you proceed as an individual, will it be less likely to win? Would it be better to gather residents even if it takes a little more time and is difficult? Also, it would be very difficult to win without a lawyer. Please save me and my mother, who are dying of construction noise, vibration, and dust.. ㅠㅠ",administration
I'm in a dispute with an unscrupulous tenant.,"It is a situation where a 24 pyeong apartment is chartered. The tenant is in a state that has received the final date for the payment of the balance and the notification of moving in, but the day after the balance day, he suddenly contacted the house and asked for the breach of the contract, saying that he was unsatisfied with the house and the boiler is worn out. We were lucky to have a new tenant, so we even exchanged temporary down payments. But the very next day, in the midst of a commotion saying that my house is better and returning the down payment, we received only the temporary contract money back saying that we knew the new tenant. In the situation, I don't want to bring in this tenant. I haven't moved in yet, but the agreement to cancel the contract is still valid, so I want to ask if it is possible to change the tenant. Since it is a situation that has not moved in yet, the contract has been terminated, so some people ask you to get it quickly, so I am wondering which way to proceed.",contract
I work and I can't get paid,"Good morning. My father is doing various things such as construction, repair, etc., but he said that it is a situation where he keeps paying for money in one place and then he does not give it to him.. Now he says he does not answer the phone either. Is there any way to get help in this regard??",law
I haven't received the deposit,"I signed a 12-month contract from February 15, 2020 to February 14, 2021. Due to the personal circumstances of the landlord (next tenant moving in), the room has been removed by the end of January (I have previously filed a move-in notification, and now a new tenant I wanted to get the deposit back, but I am claiming that at the time of the contract, I said, ""You must get the contract back to give you the deposit."" However, I lost the contract and said I would write a receipt. ,I agreed by sending it with a signature, but I keep insisting that I will return the deposit only after receiving the mail. I can't stand it, so if I don't return the deposit by tomorrow, I will do it legally. (If the money is so urgent, it is sent by registered mail, not by regular mail, but it is contrary to the focus on why it was sent to the general public.) Currently, 90% of the deposit has been returned, and the remaining 10% and the remaining days' monthly rent are not being returned. Is there really no legal problem with the landlord in this case? What should I do?",administration
Retaliatory inter-floor noise,"I have lived with little attention to the noise between floors for more than 3 years. Of course, I was just trying to draw because it was at the level of living noise. I was told that I shouldn't go upstairs because of the noise between the floors, and I hated that I had to deal with that girl. I'm resting after work, but suddenly the sound of hammering.. The sound of knocking down again is more than 10 minutes apart. I often have cctv installed, so I collect it as evidence.. How would I do that house?",administration
I am curious about donation.,Can anyone explain about the donation loan project?,law
"I wrote the contract for 1 year, do I have to pay for real estate?","I have written a real estate contract for one year. After one year is over and I am trying to remove my room, I haven't lived for two years, so they ask me to pay the real estate fee. If you write a contract for one year, you will go out within a year, and if you write a contract for two years, you will go out within two years, isn't it? Then, it is legal that you should not sign a one-year contract from the beginning, and now that I haven't lived for two years now, I have to pay the real estate cost. I made the phone call in October and said that there was no memory of the currency, and after a year passed, automatic extension or anything else, until the monthly rent was deducted. .",contract
2 Can't homeowners receive a loan from the house???,"1 When I owned a house, I received a transfer from the house, but it became a 2 house. Both of them are difficult to live, so my wife and family are living under my wife's name.",loan
Redevelopment process and period I ask you,"1. Current situation. Living in a general house (owner) from a few months ago to ask for an agreement on land My thoughts. I've lived there for a long time and I just want to live because it's a nice place to live, but if it progresses, I can't help it. When redevelopment is confirmed, I will just pay the cash and move to a nearby general house. 3. Any questions. Can I get 100% of the amount listed on this document? When recruiting 30% of union members, full payment of land price / mid-April ""planned""-Can you believe this part? My sister's family, who got married this month, moves to the second floor. When writing a rental contract, can my sister also receive moving expenses? Is there any reason to rush to fill out the consent form? * When is the time to relocate when receiving land payments? Redevelopment is something I didn't expect to experience in my life, so I don't know.",law
Right to request renewal,"I would like to inquire about the renewal right for the apartment contract. I lived on a one-year contract, and I lived one more year by applying for a renewal. I know that the renewal application is only available once, but in this case, can I no longer renew it? I often live two years, a total of four years, but I am curious to see if I can live two more years if it is 1 year + 1 year.",contract
Rent contract question,"You have signed a monthly rent contract and paid the down payment. It is one year from February 17, 2021 to February 16, 2022. 1. Can I set the confirmation date on any date? Also, is it possible only at the local community center?2. Can I process the balance before February 17th? If so, is the contract period unchanged on the above date?3. Do I have to report the move-in after February 17th? 4. The deposit is 200, but the loan is at least 30% of the market cost. Since the deposit is about 200, it will be safe, right?",contract
Commercial real estate provisional contract brokerage fee inquiry,"A. I saw a shopping mall rental building through real estate, but he said that he did not like it. That way, I ended the relationship with Real Estate A and met the building owner who was introduced four times. I liked the building. So I decided to make a contract with the owner (the representative of the project company) to discuss conditions such as deposit and rent. If you sign a contract and sign a contract without brokerage fees, it would be better to express your sincerity to Real Estate A, who introduced you instead. After that, a temporary contract was signed with the building owner for a deposit of 40 million won / monthly rent of 4.5 million won. It's small, but they say they want to show their heart, so they just ask for a legal brokerage fee. So, when I delivered the details to the building owner (Real Estate B), it was not legally necessary to give it, but he told me to talk to the right side to solve it properly (if it was brokered, I would talk about a fee of 4 to 5 million won). Please answer me whether I should pay the brokerage fee to Real Estate A and how to deal with it in this case!",contract
I would like to ask a question about real estate benefits,"Good morning. I would like to inquire about real estate benefits. I decided to buy and sell a villa for 65 million won. The owner of a local real estate agent you know is 6500, but when I traded at 2 million, he said that he would buy and sell for 6300 and do things like that, and he said that he would do it, and he went over the contract today. He asked me why this is the case, and said that if I received the transaction amount of 65 million won, I could give it to the real estate manager for 2 million won. Question!!!1. In the above situation, it seems that my parents and the real estate manager have agreed to do that over the phone. The landlord is me, and I know the welfare cost is around 30~40. Is it correct that I have to pay 2 million won?2. Is it legally irrelevant if the seller and the broker do such a transaction without the buyer's knowledge? There is no difference between selling and selling for 6300 by cutting 200 from 6500 and selling for 6500 and giving 200 to the brokerage.",contract
No one who lives in an unlicensed building in the inherited land doesn't go out. Is there any way?,"When my father was alive, he inherited the land as a condition of building a new house on the land. It is a land in the name of the deceased grandfather, so the grandmother and the rest of the brothers agreed to inherit the inheritance, received a seal, and received the inheritance as the eldest son, and built a house with his father's money. I postponed the inheritance of the vacant house, and my eldest aunt lived in the vacant house free of charge for 20 years-My father was also a brother, so he did not receive any money, and until now, he paid the land & housing tax alone. There is a situation where the Rosie itself has been advised to open the house, and the father has vacated the house, and the aunt says that he cannot leave, and if he gives 20 million won to leave, he will leave. In this case, can you legally send out your big aunt? Since it was 20 years ago, there was no receipt for the money when building the house, and because I did not like to get involved in a dispute between siblings, only 1 out of 7 siblings wrote a confirmation of the above fact2. Can I charge a monthly rent for the land even if I can't export it as a part that I have lived in the past? My father is now asking for 20 million won more than money, and he is hurt a lot because he claims that he built a house because he could not prove it Is there any chance that the land in your father's name is stolen just because you have lived for a long time? There are people around you that say it was stolen, so your father can't sleep. Thank you for reading the long question and ask for your answer.",law
Studio cigarette smell,"One-room villa? I'll live in the same place as a charter. The smell of cigarettes comes over from the house? There is only one owner in the whole villa, and when I signed a contract at the real estate, I went in with confidence because there was no smoking indoors in the terms of the contract. I occasionally smell cigarettes I can't keep on turning on the back port and even if I close the door, I come to the living room.I told the landlord and told me to take measures separately, but it seems like I only sent a text message. If it is, will a fraudulent contract be established?",contract
Rent contract-suspicion of false real residence by landlord,"Good morning? I am currently a tenant living in an apartment in Yongin. The contract expires in May 2021. A few months ago, the landlord notified me of refusal of renewal that he would come in and live. So, I have signed a charter contract for another apartment. However, as soon as I told the landlord that I had a contract for another apartment, the landlord said he would sell the house for sale. It seems like I've been waiting for a contract to sign a contract, but now I have revealed my true color, but it seems that it is because I know that I cannot cancel another apartment contract by asking for a down payment of tens of thousands of won. Is it impossible to claim damages? In the case of a house I signed a new lease contract, it seems that he has made a gap investment, but the new landlord bought the house from the current landlord, but I will pay the balance after receiving the lease payment from me. Seems to be. Anyway, once I asked the new landlord to hold the contract, the new landlord said that if a new contractor appeared, he would cancel the contract without penalty. If I cancel my new contract and my current home is sold, can I ask the new landlord to extend the contract?",monthly
"I have a question about a studio contract, please help","The one-room contract expiration date is October, but due to circumstances, I moved in March. I've got a tenant because it's still before the contract expires, but the tenant is going to come in June.",contract
